YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202110,145478500000000.0,1123035557722.9543,0.007719598138026955,4454476181968.0625,0.03061948110523591,9637764664946.686,0.0662487217351477,7614485616632.484,0.05234096871106372,13367783057919.176,0.09188837565632843,13931248937.627201,9.576156571333359e-05
202111,151279100000000.0,839406453247.4106,0.0055487271754486285,2661330617017.1494,0.017592189648253785,6646839907867.291,0.043937595529503354,5778953278577.918,0.03820060589055539,10581918356210.178,0.0699496384907775,10316212429.047777,6.819324301273459e-05
202112,149608400000000.0,471763297986.5924,0.003153320923067103,2134231234143.4014,0.014265450563894817,6989092917791.647,0.046715912460741825,8333485858352.607,0.055701991722073144,11777950509097.955,0.07872519530385964,20530422250.79236,0.00013722773755211847
202201,156668400000000.0,889268294018.0103,0.005676117800513762,2277376212563.0977,0.01453628308301545,5434870582153.433,0.03469027948299359,5317182449165.679,0.03393908694520196,8250513671273.917,0.052662270574499494,15265440473.861336,9.74379037116696e-05
202202,156369500000000.0,596672666363.1222,0.0038157867510168046,2592065938127.9497,0.01657654426296656,5357856901708.295,0.034264079003311354,3931850040396.645,0.025144609661069742,6944814378504.958,0.04441284507851568,7587584988.025037,4.852343320164762e-05
202203,147506300000000.0,402193389364.728,0.0027266183841959837,1392603341228.335,0.009440975342940165,3754387992778.888,0.02545239079808041,4066544482194.5444,0.027568615592652956,5110247794621.945,0.03464426803886984,7389615699.555692,5.009694975438806e-05
202204,134780400000000.0,272840135167.1784,0.0020243309499539874,2711834383160.991,0.020120391267283606,6601910896245.89,0.04898272223740165,7552096559352.004,0.05603260236170841,8079021480659.896,0.05994210939172088,12689578335.032948,9.415002726682031e-05
202205,133214500000000.0,646908906793.5865,0.0048561448400405854,3544153109996.0625,0.026604859906362015,7256217801446.41,0.05447018005882551,5622100853213.135,0.042203370152747145,6380056585451.132,0.047893109124390605,13584096695.665731,0.00010197160741259947
202206,134379500000000.0,584005245608.3984,0.004345940010257505,1866855131184.2688,0.013892410160658945,5922960897630.434,0.044076372494542944,4980547276361.043,0.037063296681123556,3902334700741.527,0.029039657840232526,16267440189.32587,0.00012105596604635283
202207,125081500000000.0,696972153369.1558,0.005572144188942056,3969228104385.8667,0.031733134831177005,9802603558326.27,0.07836973140173623,9343328892201.7,0.0746979280884999,8171151545006.954,0.06532661940420409,26834409874.052624,0.00021453540191037541
202208,127995600000000.0,409353115713.75183,0.003198181153990855,3430501981306.6523,0.026801718038015777,5123075123465.154,0.04002540027520598,5674995626392.859,0.04433742743026213,5411691977101.395,0.04228029695631252,15770838573.185987,0.00012321391183123473
202209,122777800000000.0,552386213212.3679,0.004499072415472242,3203481030800.371,0.026091695980872527,6522498573379.617,0.05312441315432934,11384980373726.16,0.09272833015191802,7971641464580.255,0.06492738479252971,32049062077.223106,0.00026103303754606373
202210,125429100000000.0,738842238305.5288,0.005890516939892966,2650176648606.7827,0.021128881962852182,5014460271900.329,0.03997844417204882,5631990187184.81,0.04490178265797019,4714926294674.929,0.03759037013480068,20840057175.61556,0.00016615009735073885
