YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
202208,110987000754186.0,980999999999.9999,0.008838872961102162,4065500000000.0,0.036630415925953966,8693899999999.999,0.07833259697912955,3079999999999.9985,0.027750997676039398,4448899999999.999,0.040084874532770036,559999999999.9979,0.005045635941098056
202209,115256000754186.0,659999999999.9989,0.005726382970788862,4886499999999.999,0.04239692482842396,5359099999999.999,0.04649736208902217,1628599999999.9993,0.01413028379731326,1984700000000.0,0.0172199277001889,1899999999999.9998,0.016485041885604325
202210,113081300754186.0,549999999999.9991,0.004863757281989343,3601499999999.9995,0.03184876700197208,9892103000000.0,0.08747779636443401,1716899999999.9995,0.015182881595359115,938999999999.9989,0.008303760159614535,619999999999.9994,0.005482780936060717
202211,112146638420986.0,149999999999.99918,0.0013375345183055409,3523999999999.9985,0.031423144283391664,11690200000000.0,0.10424030683930346,4965639999999.999,0.04427809936985841,1742319999999.998,0.015536087612894135,199999999999.99814,0.0017833793577407143
202212,114810798420986.0,4999999999.999275,4.354991053772984e-05,3368999999999.999,0.029343929720326616,6971400000000.0,0.06072076926455477,4713399999999.999,0.04105362966571311,7304699999999.999,0.06362380630100026,159999999999.99933,0.0013935971372075512
202301,114018698420986.0,392999999999.9984,0.0034468030721499956,3849999999999.9995,0.03376639141928126,10101000000000.0,0.0885907323964052,3297699999999.9995,0.028922449086588004,5241000000000.0,0.0459661447866112,259999999999.99808,0.0022803277322111853
202302,120359207559786.0,299999999999.9996,0.002492538843370007,3833999999999.9995,0.031854646418268726,8733699999999.999,0.07256362165446886,1415299999999.9988,0.011758967416738575,3291099999999.999,0.02734398195805013,249999999999.99936,0.0020771157028083367
202303,117792507559786.0,59999999999.99875,0.0005093702582869759,4415999999999.999,0.037489651009922194,8039999999999.999,0.06825561461045618,2945199999999.9995,0.025003288078447206,3966529999999.998,0.03367387351005132,199999999999.99908,0.0016979008609566137
202304,120062237559786.0,194999999999.9997,0.001624157636599916,3759499999999.999,0.03131292633229432,10731600000000.0,0.08938364150223428,1990700000000.0,0.016580567216304912,3228000000000.0,0.02688605564586942,149999999999.9981,0.0012493520281537677
202305,121433829463986.0,298499999999.999,0.0024581288535294532,3665999999999.9985,0.03018928099510553,8205899999999.999,0.0675750739000918,1039899999999.9993,0.008563511540319212,2006599999999.9998,0.016524225653240254,0.0,0.0
202306,117646150000000.0,409999999999.999,0.003485026921832963,3526049999999.9995,0.0299716565310467,8369600000000.0,0.07114214957310545,2166999999999.999,0.018419642291736694,6231500000000.0,0.05296815917902966,0.0,0.0
202307,117425850000000.0,344999999999.9988,0.002938024293628692,3002999999999.9995,0.02557358537323766,11013400000000.0,0.09379025146507348,1942300000000.0,0.016540650972507332,4141199999999.999,0.035266510738478786,99999999999.9984,0.0008516012445300451
202308,118449350000000.0,234999999999.99832,0.0019839703637039656,3432000000000.0,0.028974409737157696,8912499999999.998,0.07524313134685837,2514399999999.999,0.021227638648924615,3148999999999.9985,0.026585202873633317,0.0,0.0
202309,118549750000000.0,203999999999.9993,0.0017207965432234087,3114000000000.0,0.026267453115675066,7496000000000.0,0.06323083768628783,2898299999999.999,0.024447963829531474,2507399999999.999,0.021150613982737196,0.0,0.0
