YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
202407,23094392396058.5,1995865000000,0.08642206150184893,15360013393333,0.6650970993267821,771380000000,0.03340118184411081,21090458078204,0.9132285325594229,97100000000,0.00420448385628764,0,0.0
202408,22325743735768.5,3776665000000,0.1691618897313299,14412388225850,0.6455501951659347,76200000000,0.003413100181648978,22201949991034,0.9944551121700744,104510000000,0.0046811430444112165,0,0.0
202409,22879192108442.0,2592596550000,0.1133167874858387,17437632221034,0.7621611872649924,636870000000,0.02783621016779726,21579067899281,0.9431743829502932,98150000000,0.0042899242042635085,0,0.0
202410,24000618246922.0,2344610000000,0.0976895668219167,15687940944000,0.6536473678552812,701060000000,0.029210080873225366,20334921128727,0.8472665545328144,96150000000,0.004006146800502979,0,0.0
202411,22210030948128.0,4079422355000,0.18367477130165094,12643743135281,0.569280752683809,82610000000,0.0037194905397897647,25485567035446,1.1474800325568246,56680000000,0.0025520000459421845,0,0.0
202412,24098151174628.0,3501490790000,0.14530122102008317,17110721435446,0.7100429120662671,69550000000,0.002886113523647676,24347023694165,1.010327452829619,48040000000,0.0019935139277646925,0,0.0
202501,25381583753923.0,3307282000000,0.130302428408898,17112233740000,0.6741988169810372,96150000000,0.0037881796869802882,22748997933199,0.8962796866323558,14640000000,0.0005767961582672015,0,0.0
202502,24580292630717.0,4550398576000,0.18512385691916255,14374798774165,0.5848099121570829,348180000000,0.014165006301222529,26295548729700,1.0697817607280848,18000000000,0.0007322939669768669,0,0.0
202503,25656478834050.0,4898395684000,0.19092236762821457,22693567379034,0.8845160524879286,702640000000,0.02738645488123223,20251906499998,0.7893486331850292,28000000000,0.0010913422758090949,0,0.0
202504,27362072634457.0,2956980000000,0.10806856773986782,18833749166666,0.6883158822898782,1188500000000,0.04343603702386655,20900237392841,0.7638397014750036,28000000000,0.001023314292526936,0,0.0
