YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202303,95347400000000.0,4914100285714,0.05153890180239839,11442531675128,0.12000884843349688,24972971000000,0.261915594971651,27016874011869,0.28335197406399126,15390553000000,0.16141554987341028,5500000000,5.768379630697848e-05
202304,83742500000000.0,3022115000000,0.03608818700182106,11035554413254,0.13177961504915664,28193918000000,0.33667394692061975,23991380807845,0.2864899042642028,17510968000000,0.20910491088754216,36600000000,0.0004370540645430934
202305,83790500000000.0,2106950000000,0.025145452050053408,12969397258751,0.1547836241429637,28695871000000,0.3424716525143065,22058825731859,0.2632616553411067,17861876000000,0.2131730446769025,35900000000,0.00042844952590090764
202306,83728900000000.0,2528485285714,0.0301984772965368,7604031820131,0.09081729032784379,21476715803279,0.25650302109879625,36037730246079,0.4304096942164414,14544411000000,0.17370837309459458,35900000000,0.0004287647395343782
202307,82227200000000.0,2452560000000,0.029826626712328767,10799019355042,0.13133147370994025,20222087000000,0.2459294126517746,33283860462591,0.40477920277707374,18361276000000,0.22329929755603986,35400000000,0.00043051447696139476
202308,85154200000000.0,4118982000000,0.04837086133156086,18361258045625,0.2156236338973885,18921528000000,0.22220310918310548,24196095623380,0.28414447700031237,19287512000000,0.2265010064095488,5400000000,6.341437063585824e-05
202309,84890800000000.0,3227742743901,0.03802229150745428,11566860776579,0.13625576359957733,18175911000000,0.2141093145546985,26893004291701,0.31679527453741746,18268962000000,0.21520544040107997,5400000000,6.361113336191908e-05
202310,78137900000000.0,2174187000000,0.02782499913614264,11585422387937,0.14826892440079653,24802524000000,0.3174198948269662,26194785031004,0.3352378939158078,17209010000000,0.22023896214257102,4900000000,6.27096453833543e-05
202311,81970900000000.0,2850380000000,0.03477307190722561,13522376955974,0.16496557871115236,24735990000000,0.30176550458760365,22244742464435,0.2713736516792545,20554120000000,0.2507489853106407,4400000000,5.3677585582200515e-05
202312,83912000000000.0,2837536940622,0.03381562756962055,11275062605268,0.13436770194093814,20728358000000,0.24702495471446276,30383179389053,0.3620838424665483,18216915000000,0.21709546906282773,4400000000,5.243588521308037e-05
