YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_d
201904,0.0,0.1209987032455155,0.0151973528609353,0.0532892557835446,0.8105146881100044,0.8105146881100044,0.0402824179211855,0.0544342977146186,0.0262819876097114,0.0395801954096802,0.0077873332246034,0.005921727149261,0.0151973528609353,0.0,0.0,0.0,0.0
201905,0.0,0.137496861818477,0.0113021287807391,0.0624071464720367,0.7887938629287471,0.7887938629287471,0.0564783178997676,0.065933075418994,0.0150854684997153,0.022292970116246,0.0304044025833548,0.0097097737724358,0.0108950605831277,0.0004070681976113,0.0,0.0,0.0
201906,0.0,0.1640534518009608,0.0222580877420828,0.0368582047622233,0.776830255694733,0.776830255694733,0.0502711337286447,0.084075604486933,0.029706713585383,0.0129658763546113,0.0168083678367852,0.0070839605708267,0.0216097939243522,0.0006482938177305,0.0,0.0,0.0
201907,0.0,0.1215363603578527,0.0177482743958976,0.0622707763943206,0.798444588851929,0.798444588851929,0.0588330721690228,0.0483135334093866,0.0143897547794431,0.0448173964037701,0.0132647872331185,0.0041885927574318,0.0166560728946116,0.001092201501286,0.0,0.0,0.0
201908,0.0,0.1435916272401052,0.011891143802955,0.0412689494141208,0.8032482795428189,0.8032482795428189,0.0540686300469645,0.0581624435591001,0.0313605536340405,0.0196992162057044,0.0140930095318617,0.0074767236765546,0.0107955552727951,0.0010955885301599,0.0,0.0,0.0
201909,0.0,0.1273326489146234,0.0212638805212573,0.0395324666650054,0.8118710038991138,0.8118710038991138,0.0329476223437252,0.076501936784124,0.0178830897867742,0.00824321762692,0.0172795970873582,0.014009651950727,0.0212638805212573,0.0,0.0,0.0,0.0
201910,0.0,0.1167116512892854,0.0161049440790369,0.0655037854612494,0.8016796191704283,0.8016796191704283,0.0433931613265571,0.0483792520134269,0.0249392379493013,0.0415214740074079,0.0181728188987852,0.0058094925550562,0.0161049440790369,0.0,0.0,0.0,0.0
201911,0.0,0.1478060671722643,0.0079660656245163,0.0370782386627457,0.8071496285404736,0.8071496285404736,0.0419197879585203,0.0671722643553629,0.038714014858381,0.0215427178455347,0.006442501160811,0.0090930196563999,0.0079660656245163,0.0,0.0,0.0,0.0
201912,0.0,0.1297846700294975,0.0189603393723188,0.038807329823573,0.8124476607746106,0.8124476607746106,0.0354947188068,0.0776368545997688,0.0166530966229286,0.0114106144026513,0.015175153653707,0.0122215617672145,0.0189603393723188,0.0,0.0,0.0,0.0
202001,0.0,0.1595354989324997,0.0133161254714542,0.0675127561402729,0.7596356194557731,0.7596356194557731,0.0401233883491303,0.0862174556019981,0.0331946549813712,0.0413642338369397,0.01690876177212,0.0092397605312131,0.0133161254714542,0.0,0.0,0.0,0.0
202002,0.0,0.1340714555183573,0.0062148889276935,0.0405577538415779,0.8191559017123712,0.8191559017123712,0.0550618782308641,0.0605849787025078,0.0184245985849853,0.0150227110227609,0.0109331103414884,0.0146019324773285,0.0062148889276935,0.0,0.0,0.0,0.0
202003,0.0,0.1669724580098617,0.0275731095118936,0.05201455782667,0.7534398746515746,0.7534398746515746,0.0280867916542705,0.1137564716596631,0.025129194695928,0.0221067908670539,0.0168428858728543,0.0130648810867616,0.0200976053689402,0.0,0.0074755041429534,0.0,0.0
202004,0.0,0.1794197774466479,0.0116026539991365,0.0317485253376373,0.7772290432165782,0.7772290432165782,0.0404260891969915,0.1024086881923789,0.0365850000572774,0.0250311993381372,0.0054959939995909,0.0012213319999091,0.0,0.0,0.0116026539991365,0.0,0.0
