YYYYMM,balance_total_amt,bal_share_top,bal_share_high_mid,bal_share_low,bal_share_distress,bal_amt_top,bal_amt_high_mid,bal_amt_low,bal_amt_distress
202111,23066650316420.5,0.7521329503170254,0.2391965233058687,0.0086705263771058,0.0,17349187756420.498,5517462560000.0,199999999999.9998,0.0
202112,24462833626108.0,0.7617638169365576,0.2357834827378364,0.0024527003256059,0.0,18634901516108.0,5767932109999.999,59999999999.99805,0.0
202201,23672151643761.5,0.759002717376413,0.2384626587793784,0.0025346238442086,0.0,17967227423761.5,5644924220000.0,59999999999.9997,0.0
202202,25458716936544.0,0.7627123576157697,0.2349308857515394,0.0023567566326908,0.0,19417678016544.0,5981038919999.999,59999999999.99768,0.0
202203,27435295369455.5,0.7674444804008456,0.2303685557195237,0.0021869638796307,0.0,21055065999455.5,6320229370000.0,59999999999.99858,0.0
202204,27054267359748.0,0.7716514948325127,0.2261307404355075,0.0022177647319797,0.0,20876465849748.0,6117801509999.997,59999999999.99867,0.0
202205,28532376835129.5,0.7812153566430469,0.2166817691258051,0.002102874231148,0.0,22289930945129.5,6182445890000.0,59999999999.99795,0.0
202206,29753474152140.5,0.777889636141043,0.2200937926278733,0.0020165712310837,0.0,23144919182140.5,6548554969999.999,59999999999.999016,0.0
202207,28274885415337.0,0.7530860059219522,0.2447919695634071,0.0021220245146406,0.0,21293420525337.0,6921464889999.998,59999999999.99907,0.0
202208,29042352721642.5,0.7344633035100795,0.2634707481635203,0.0020659483264001,0.0,21330542321642.5,7651810399999.999,59999999999.99871,0.0
202209,30299145305354.5,0.7353546259741209,0.2625826095693201,0.0020627644565589,0.0,22280616663354.5,7956028641999.999,62499999999.99872,0.0
202210,27947107501356.0,0.7552511453406002,0.2425786837393123,0.0021701709200874,0.0,21107084949356.0,6779372551999.999,60649999999.99922,0.0
202211,26261654836356.0,0.783769777366096,0.214265380725748,0.001964841908156,0.0,20583091364356.0,5626963471999.999,51599999999.99998,0.0
202212,25663594104459.5,0.7858937264346308,0.2129723715919529,0.0011339019734162,0.0,20168857604459.5,5465636500000.0,29099999999.99898,0.0
202301,25869709688459.5,0.7715509926021158,0.2274884245270572,0.0009605828708269,0.0,19959800188459.5,5885059499999.999,24849999999.998898,0.0
202302,25761848308704.5,0.7864491346243527,0.2124387557297597,0.0011121096458874,0.0,20260383308704.5,5472814999999.998,28649999999.998276,0.0
202303,25944736214956.0,0.7900976539179188,0.2081794532521193,0.0017228928299618,0.0,20498875214956.0,5401161000000.0,44699999999.99794,0.0
202304,25427630999456.0,0.8048195484626083,0.1933792613281669,0.0018011902092247,0.0,20464654499456.0,4917176500000.0,45799999999.99862,0.0
202305,25241156982159.0,0.792438139673902,0.2057374590107165,0.0018244013153814,0.0,20002055482159.0,5193051499999.998,46049999999.99929,0.0
202306,25116711991659.0,0.8041144875318919,0.1940500811419333,0.0018354313261747,0.0,20196711991659.0,4873899999999.998,46099999999.99867,0.0
202307,24621360119766.5,0.7991290905156175,0.1990472896769635,0.0018236198074189,0.0,19675645119766.5,4900814999999.999,44899999999.99997,0.0
202308,24709518643988.5,0.7946234779755768,0.2036828427341477,0.0016936792902755,0.0,19634763643988.5,5032905000000.0,41849999999.99968,0.0
202309,24071364096988.5,0.7943602207147337,0.2040715258265966,0.0015682534586697,0.0,19121334096988.5,4912279999999.999,37749999999.999855,0.0
202310,24617589439786.0,0.7884573543344758,0.2100376242217868,0.0015050214437373,0.0,19409919439786.0,5170619999999.999,37049999999.99883,0.0
202311,24219095233446.5,0.7706844559440769,0.2277671790307833,0.0015277201581379,2.064486700186477e-05,18665280233446.5,5516315000000.0,36999999999.99774,500000000.0
202312,24642418778727.5,0.7768106674354631,0.2216107537590512,0.0015582885894768,2.0290216008812563e-05,19142493778727.5,5461024999999.999,38399999999.999886,500000000.00000006
202401,23895491557065.0,0.7868273608084059,0.211649339287381,0.0015023754549793,2.0924449233695248e-05,18801626557065.0,5057464999999.998,35899999999.99955,500000000.0
202402,23597826854486.0,0.7831446500749628,0.2153679248237157,0.0014874251013214,0.0,18480511854486.0,5082215000000.0,35099999999.99869,0.0
202403,23379545104301.5,0.8176050910752994,0.1808615172423532,0.0015333916823473,0.0,19115235104301.5,4228460000000.0,35849999999.99946,0.0
202404,22826282393301.5,0.8134654637739214,0.1849815019040988,0.0015530343219797,0.0,18568392393301.5,4222439999999.998,35449999999.99816,0.0
