YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b+,issue_detail_c,issue_detail_d
201802,0.0,0.0453596081686833,0.0,0.0034401997478651,0.9512001920834516,0.9512001920834516,0.0,0.0431630169740739,0.0021965911946093,0.0,0.0034401997478651,0.0,0.0,0.0,0.0
201803,0.0,0.1028213922364515,0.0,0.0033405703617465,0.8938380374018019,0.8938380374018019,0.0339301259662481,0.0558016844445842,0.013089581825619,0.0,0.0033405703617465,0.0,0.0,0.0,0.0
201804,0.0,0.0884784957947405,0.0,0.0072468037677967,0.9042747004374628,0.9042747004374628,0.009395118577706,0.0336847743600398,0.0453986028569947,0.0,0.004908047365096,0.0023387564027006,0.0,0.0,0.0
201805,0.0076221736042268,0.0252942268792765,0.0,0.0040401457414808,0.9630434537750158,0.9630434537750158,0.0,0.0143531305236497,0.0109410963556267,0.0011580330605024,0.0028821126809784,0.0,0.0,0.0075735362156857,4.86373885411013e-05
201806,0.0,0.0534914046087499,0.0,0.002222383267618,0.944286212123632,0.944286212123632,0.0194442337787807,0.0150266800998828,0.0190204907300862,0.0008423026961817,0.0013800805714362,0.0,0.0,0.0,0.0
201807,0.0,0.0269421811227833,0.0,0.0044047484369047,0.968653070440312,0.968653070440312,0.0052549947839748,0.0185400939569449,0.0031470923818635,0.0020960934250686,0.0023086550118361,0.0,0.0,0.0,0.0
201808,0.0,0.0544003778641727,0.0,0.0113424800339102,0.934257142101917,0.934257142101917,0.0331262401892219,0.0169292397717136,0.004344897903237,0.0036351735445409,0.0077073064893692,0.0,0.0,0.0,0.0
201809,0.0,0.0837942642371205,0.000761110998717,0.0057174658223622,0.9097271589418002,0.9097271589418002,0.0205576080753466,0.0199751069946985,0.0432615491670753,0.003044443994868,0.0026730218274941,0.0,0.000761110998717,0.0,0.0
201810,0.0,0.029238659943302,0.0,0.00606779111936,0.9646935489373378,0.9646935489373378,0.0151641080717458,0.010027925864875,0.0040466260066811,0.0016323969029074,0.0031466598194203,0.0012887343970322,0.0,0.0,0.0
201811,0.0,0.0553497172861821,0.0,0.0013414881146865,0.9433087945991312,0.9433087945991312,0.0056414272014159,0.0492755519832544,0.0004327381015117,0.0,6.332752705050623e-06,0.0013351553619815,0.0,0.0,0.0
201812,0.0,0.0056514607811937,0.0004835131093315,0.0069142374634418,0.9869507886460328,0.9869507886460328,0.0021951495163654,0.0034563112648283,0.0,0.0050285363370486,0.0018857011263932,0.0,0.0004835131093315,0.0,0.0
201901,0.0,0.0450158399174208,0.0,0.005609448057947,0.9493747120246322,0.9493747120246322,0.0194624219670424,0.0243107633103963,0.001242654639982,0.0,0.0034216758044575,0.0021877722534894,0.0,0.0,0.0
201902,0.0,0.0251180000474372,0.0,0.001827913632662,0.9730540863199006,0.9730540863199006,0.00529715455832,0.0152036242024619,0.0046172212866551,0.0010278061083307,9.487440999976282e-06,0.0007906200833313,0.0,0.0,0.0
201903,0.0,0.0720601097958729,0.0,0.006525732036422,0.921414158167705,0.921414158167705,0.0470944144846022,0.0108456903201821,0.0141200049910886,0.0011448652695477,0.0053808667668743,0.0,0.0,0.0,0.0
201904,0.0,0.060150951711906,0.000803982062697,0.007999621523836,0.9310454447015608,0.9310454447015608,0.0505778224367914,0.0092400509919972,0.0003330782831173,0.0,0.0065639392690197,0.0014356822548162,0.000803982062697,0.0,0.0
201905,0.0,0.0207940886550567,0.0,0.0043739114999731,0.9748319998449702,0.9748319998449702,0.0105822075956204,0.0102118810594362,0.0,0.0003195968736932,0.0030245024777128,0.001029812148567,0.0,0.0,0.0
201906,0.0,0.0280027267026443,0.0,0.0064345449933932,0.9655627283039624,0.9655627283039624,0.0103169007120959,0.0160636717905332,0.001622154200015,0.0027035903333584,0.0021088004600196,0.001622154200015,0.0,0.0,0.0
201907,0.0,0.0196797712248915,0.0,0.0026711918444887,0.9776490369306196,0.9776490369306196,0.0126646923233907,0.0066438429742315,0.0003712359272692,0.0016001548589189,4.267079623783942e-06,0.0010667699059459,0.0,0.0,0.0
201908,0.0,0.052243828018096,0.0,0.0057748153939034,0.9419813565880004,0.9419813565880004,0.0128825595432843,0.0335437985495104,0.0058174699253012,0.0011369507247932,0.0040326437509693,0.0006052209181408,0.0,0.0,0.0
201909,0.0,0.0894951672634897,0.0,0.0041444561121576,0.9063603766243526,0.9063603766243526,0.0237649864621347,0.0571037110656422,0.0086264697357127,0.0010923736132723,0.0016455928680625,0.0014064896308227,0.0,0.0,0.0
201910,0.0,0.0563450049409264,0.0,0.0063482772359154,0.937306717823158,0.937306717823158,0.0074299669325378,0.0481924338258087,0.0007226041825797,0.0038701438735713,0.0013698447387554,0.0011082886235885,0.0,0.0,0.0
201911,0.0,0.0252776859409765,0.0,0.0047617886014296,0.9699605254575938,0.9699605254575938,0.0090862206564119,0.0134406863729699,0.0027507789115946,0.0037196067043575,0.0006961719710853,0.0003460099259867,0.0,0.0,0.0
201912,0.0,0.0102065801910471,0.0,0.0054031599717565,0.9843902598371964,0.9843902598371964,0.0001375549890976,0.0100690252019495,0.0,0.0011004399127813,0.002652060189803,0.001650659869172,0.0,0.0,0.0
