YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_other
201910,0.0,0.0997464230847539,0.0,0.017121069095082,0.883132507820164,0.883132507820164,0.0331932799032582,0.0281649298807386,0.038388213300757,0.003177423633862,0.0063548472677241,0.0075887981934958,0.0,0.0,0.0,0.0,0.0
201911,0.0,0.1247674660402066,0.0,0.0174730654017568,0.8577594685580365,0.8577594685580365,0.0342829523804171,0.043331403746396,0.0471531099133933,0.0060978693988118,0.0087843040279658,0.002590891974979,0.0,0.0,0.0,0.0,0.0
201912,0.0,0.1047200223125968,0.0,0.0161377154235826,0.8791422622638205,0.8791422622638205,0.041576670363812,0.0223969177482438,0.0407464342005409,0.0027047537506567,0.0086137001939379,0.0048192614789878,0.0,0.0,0.0,0.0,0.0
202001,0.0,0.1443576248000185,0.0,0.0257715226413781,0.8298708525586033,0.8298708525586033,0.0506387813304273,0.0635998979804771,0.030118945489114,0.0069674696839713,0.013819008092003,0.0049850448654037,0.0,0.0,0.0,0.0,0.0
202002,0.0,0.129195256916996,0.0,0.0314118577075098,0.8393928853754941,0.8393928853754941,0.0711462450592885,0.0347130434782608,0.0233359683794466,0.0060521739130434,0.0141343873517786,0.0112252964426877,0.0,0.0,0.0,0.0,0.0
202003,0.0,0.0713141629607296,0.0,0.0157392402200949,0.9129465968191754,0.9129465968191754,0.0197859350267581,0.025170535916183,0.0263576920177885,0.0041409135448858,0.0093276550840431,0.002270671591166,0.0,0.0,0.0,0.0,0.0
202004,0.0,0.0939936993234519,0.0,0.011833135361256,0.894173165315292,0.894173165315292,0.0275654598977431,0.0366033156019211,0.0298249238237876,0.0016139028043175,0.0068752259463926,0.0033440066105458,0.0,0.0,0.0,0.0,0.0
202005,0.0,0.1228343205602578,0.0,0.0182067936034047,0.8589588858363374,0.8589588858363374,0.0555811405250035,0.0432738879801813,0.0239792920550729,0.0024217496943037,0.0102428101824649,0.005542233726636,0.0,0.0,0.0,0.0,0.0
202006,0.0,0.1065153261009882,0.0,0.0537070948061945,0.8397775790928173,0.8397775790928173,0.0352851740113696,0.0415389690800514,0.0296911830095671,0.018747041639374,0.0236190731187217,0.0113409800480987,0.0,0.0,0.0,0.0,0.0
202007,0.0,0.1060582504328226,0.0,0.0359012383545916,0.8580405112125857,0.8580405112125857,0.0230744933284464,0.0493146945830516,0.0336690625213245,0.0109484249899576,0.0116287004487566,0.0133241129158772,0.0,0.0,0.0,0.0,0.0
202008,0.0,0.1293455125931181,0.0,0.0306580347641007,0.8399964526427811,0.8399964526427811,0.0573785030152536,0.0375133025895707,0.0344537069882937,0.012034409365023,0.0067399787158566,0.011883646683221,0.0,0.0,0.0,0.0,0.0
202009,0.0,0.140907854947554,0.0,0.0343762102123381,0.8247159348401077,0.8247159348401077,0.0484332127584189,0.0569860665936076,0.0354885755955274,0.0097888153720656,0.0147656204938902,0.0098217743463823,0.0,0.0,0.0,0.0,0.0
202010,0.0,0.0892218440119652,0.0,0.0257313071671308,0.885046848820904,0.885046848820904,0.0306656965155405,0.0306517575625789,0.0279043899338457,0.0126495998126604,0.0057149707142598,0.0073667366402105,0.0,0.0,0.0,0.0,0.0
202011,0.0,0.0916457302590398,0.0,0.0305685842415304,0.8777856854994298,0.8777856854994298,0.0270101094981264,0.0250379427728664,0.0395976779880469,0.0129048300935493,0.0110612829373279,0.0066024712106531,0.0,0.0,0.0,0.0,0.0
202012,0.0,0.0661739747585398,0.0,0.0154210510074983,0.9184049742339618,0.9184049742339618,0.0138858888511741,0.0316289690498966,0.020659116857469,0.0027386058567593,0.0097201221958218,0.0029623229549171,0.0,0.0,0.0,0.0,0.0
202101,0.0,0.0922299836499449,0.0,0.0318558915410728,0.8759141248089822,0.8759141248089822,0.0209166717129799,0.0413204005229167,0.0299929114140482,0.0110175861049466,0.0102588580608621,0.010579447375264,0.0,0.0,0.0,0.0,0.0
202102,0.0,0.0975052437413058,0.0,0.0382913034567266,0.8642034528019675,0.8642034528019675,0.0331413171929304,0.0390718686906127,0.0252920578577627,0.0167494472813218,0.0094191112022012,0.0121227449732035,0.0,0.0,0.0,0.0,0.0
202103,0.0,0.109298559473644,0.0006189430487608,0.0382557676165605,0.8518267298610346,0.8518267298610346,0.0411215587190422,0.0334992326801929,0.0346777680744088,0.0104372451099259,0.012675614491746,0.0151429080148885,0.0,0.0,0.0,0.0,0.0006189430487608
202104,0.0,0.075963496788344,0.0,0.0264113008512193,0.8976252023604365,0.8976252023604365,0.016711055407593,0.0406679199958222,0.0185845213849287,0.0088842759413024,0.0038513760509687,0.0136756488589482,0.0,0.0,0.0,0.0,0.0
202105,0.0,0.0717793728749527,0.0,0.0150900627980412,0.913130564327006,0.913130564327006,0.0310069783521394,0.0223820487415443,0.0183903457812689,0.0052391101353614,0.0023166133251598,0.0075343393375198,0.0,0.0,0.0,0.0,0.0
202106,0.0,0.1369799235316525,0.0,0.0246053132803792,0.8384147631879683,0.8384147631879683,0.0441315481313224,0.0673118977412209,0.0255364776591091,0.0058762115718336,0.0044441936257565,0.0142849080827889,0.0,0.0,0.0,0.0,0.0
202107,0.0,0.1376482835734574,0.0,0.0286670865089259,0.8336846299176167,0.8336846299176167,0.0218489339005487,0.087517832585757,0.0282815170871515,0.011155808603339,0.0093179276928811,0.0081933502127057,0.0,0.0,0.0,0.0,0.0
202108,0.0,0.0896346142494539,0.0,0.0296617673100761,0.8807036184404698,0.8807036184404698,0.0207706156661354,0.0347382090785667,0.0341257895047517,0.008706687916888,0.0115105365680892,0.0094445428250988,0.0,0.0,0.0,0.0,0.0
202109,0.0,0.0741526833357729,0.0,0.027232564638252,0.8986147520259751,0.8986147520259751,0.0192284661139868,0.0428482082263237,0.0120760089954623,0.0046574139376438,0.0138391728432846,0.0087359778573234,0.0,0.0,0.0,0.0,0.0
202110,0.0,0.1037094165408057,0.0,0.0167689621560247,0.8795216213031696,0.8795216213031696,0.0410520903628008,0.0423053440020566,0.0203519821759482,0.00764806067033,0.0016067354349432,0.0075141660507514,0.0,0.0,0.0,0.0,0.0
202111,0.0,0.1177999965101467,0.0,0.0095621979095779,0.8726378055802754,0.8726378055802754,0.0380626661315558,0.0655219948001186,0.0142153355784722,0.0031408679265036,0.0018612550675577,0.0045600749155164,0.0,0.0,0.0,0.0,0.0
202112,0.0,0.1374054516911659,0.0,0.0287940630797773,0.8338004852290567,0.8338004852290567,0.0546881689738832,0.0673041244469815,0.0154131582703011,0.0034822320536606,0.0002283430854859,0.0250834879406307,0.0,0.0,0.0,0.0,0.0
202201,0.0,0.135315351448912,0.0,0.0167765466760252,0.8479081018750627,0.8479081018750627,0.0479168755640228,0.0725082723353053,0.0148902035495838,0.0051702095658277,0.0073322972024466,0.0042740399077509,0.0,0.0,0.0,0.0,0.0
202202,0.0,0.1536618916611327,0.0,0.0161867944217816,0.8301513139170856,0.8301513139170856,0.0453348828384403,0.0738188976377952,0.034508111184897,0.0093978275305948,0.0042690446826676,0.0025199222085191,0.0,0.0,0.0,0.0,0.0
202203,0.0,0.146430127071021,0.0,0.0118682075081066,0.8417016654208723,0.8417016654208723,0.0664124887744072,0.0692088040912244,0.0108088342053893,0.0046246753316591,0.0041944729752257,0.0030490592012217,0.0,0.0,0.0,0.0,0.0
202204,0.0,0.1141308393820956,0.0,0.0136655499720826,0.8722036106458217,0.8722036106458217,0.0379210869160617,0.0589056393076493,0.0173041131583845,0.0081751349339289,0.0034431416340964,0.0020472734040573,0.0,0.0,0.0,0.0,0.0
202205,0.0,0.0971988603336698,0.0,0.0200333039699564,0.8827678356963737,0.8827678356963737,0.0255928945128909,0.0530068219045837,0.0185991439161951,0.0164139044616329,0.0022147697174617,0.0014046297908618,0.0,0.0,0.0,0.0,0.0
202206,0.0,0.098008093388371,0.0,0.0101471617359202,0.8918447448757086,0.8918447448757086,0.0312883497804237,0.0607004127830911,0.0060193308248562,0.0010902747492368,0.0057353522855201,0.0033215347011632,0.0,0.0,0.0,0.0,0.0
202207,0.0,0.1359985769555743,0.0,0.0048694801440832,0.8591319429003424,0.8591319429003424,0.0570729754969537,0.062880775559212,0.0160448258994085,0.0036376573131142,0.0004447013830213,0.0007871214479477,0.0,0.0,0.0,0.0,0.0
202208,0.0,0.1309515620915931,0.0,0.0134633815282038,0.855585056380203,0.855585056380203,0.0500061905875555,0.0530097719570969,0.0279355995469407,0.0053468333998248,0.0061951731759548,0.0019213749524241,0.0,0.0,0.0,0.0,0.0
202209,0.0,0.1244522455646365,0.0,0.0124269406810134,0.86312081375435,0.86312081375435,0.0504330231169131,0.060611047117547,0.0134081753301763,0.003961506347552,0.0073744964315969,0.0010909379018643,0.0,0.0,0.0,0.0,0.0
202210,0.0,0.0903290894861297,0.0,0.0051258334319107,0.9045450770819596,0.9045450770819596,0.024831686873642,0.04998698893577,0.0155104136767175,0.0009650667228061,0.0029472097522823,0.0012135569568221,0.0,0.0,0.0,0.0,0.0
202211,0.0,0.074498611096138,0.0,0.0057793134179253,0.9197220754859368,0.9197220754859368,0.0206628646995619,0.0455930601522943,0.0082426862442817,0.0033689453314503,0.0014374166747521,0.0009729514117228,0.0,0.0,0.0,0.0,0.0
202212,0.0,0.0629559650565719,0.0,0.0026363171582901,0.934407717785138,0.934407717785138,0.0127192299997777,0.043256940894036,0.0069797941627581,0.0005112588081001,0.0006535221286149,0.0014715362215751,0.0,0.0,0.0,0.0,0.0
202301,0.0,0.0889500685029194,0.0,0.0104461549765101,0.9006037765205703,0.9006037765205703,0.0304783967291476,0.0457694585027898,0.0127022132709819,0.0045034726874321,0.0049270238614901,0.0010156584275878,0.0,0.0,0.0,0.0,0.0
202302,0.0,0.1188718127249552,0.0,0.0191812051142393,0.8619469821608055,0.8619469821608055,0.0364420436743013,0.0695150232184669,0.0129147458321869,0.0113537461185573,0.0054466536770527,0.0023808053186292,0.0,0.0,0.0,0.0,0.0
